angDist,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,_RAJ2000,_DEJ2000,recno,GaiaDR2,RA_ICRS,DE_ICRS,Distcore,Member,MS,Xraycat,SepX-ray,X-rayID,LX,Per,2RXSID,2RXPID,1RXHID,ChandraID,_RA.icrs,_DE.icrs
3.572091,282750542,311.12684217609,8.90709556030,,,495-134768,20443044+0854252,1237652938863673943,J204430.59+085426.5,1750816651978245248,38596089,,STAR,tmgaia2,tmgaia2,208.699,0.141,97.752,0.106,gaia2,40.7975,0.0904,12.910,0.200,11.373100,0.001449,10.148,0.007,cdwrf,cdwrf,3366.0,157.0,4.7700,0.0069,,,0.463,0.014,0.460,0.020,24.4941,0.0547,,,0.0545,0.0548,311.12775170957,8.90751643635,311.127751709571,8.9075164363521,1049,1750816651978245248,311.12775170957,8.90751643635,60.5548789846587,Tail,M,2RXS_UP,,,0.575106850223095,,,,,,311.12775170957,8.90751643635
3.470443,282750547,311.12800563169,8.90305448893,,,495-134771,20443072+0854107,1237652938863673941,J204430.85+085412.2,1750816656275568000,40368837,,STAR,tmgaia2,tmgaia2,201.447,0.066,97.725,0.051,gaia2,40.4913,0.0445,11.250,0.062,10.457100,0.000427,9.428,0.007,cdwrf,cdwrf,3707.0,157.0,4.6935,0.0098,,,0.550,0.017,0.546,0.020,24.6791,0.0273,,,,,311.12888355045,8.90347524909,311.128883550449,8.9034752490864,1050,1750816656275568000,311.12888355045,8.90347524909,60.6835615967804,Tail,M,2RXS_UP,,,0.58383894449366,,,,,,311.12888355045,8.90347524909
0.911516,64186978,321.56249659270,49.30487843939,,,697-089041,21261500+4918173,,J212615.04+491817.9,2170861124950678784,,,STAR,tmgaia2,tmgaia2,43.758,0.052,39.288,0.050,gaia2,7.1558,0.0301,15.730,0.200,14.735400,0.000572,13.629,0.007,cdwrf,cdwrf,3599.0,157.0,4.7449,0.0078,,,0.491,0.015,0.490,0.020,139.1870,0.5875,0.0168,0.0203,0.5850,0.5900,321.56278554189,49.30504759470,321.562785541889,49.3050475946988,1052,2170861124950678784,321.56278554189,49.3050475947,145.058649332168,Tail,M,2RXS_UP,,,13.3828148225965,,,,,,321.56278554189,49.3050475947
1.769315,2016668460,321.56280379881,49.30553892693,,,,,,,2170861124943110016,,,STAR,gaia2,gaia2,,,,,,,,,,20.621500,0.027468,20.191,0.600,goffs,,,,,,,,,,,,,,,,,,321.56280379881,49.30553892693,321.562785541889,49.3050475946988,1052,2170861124950678784,321.56278554189,49.3050475947,145.058649332168,Tail,M,2RXS_UP,,,13.3828148225965,,,,,,321.56278554189,49.3050475947
3.150013,2016668461,321.56291870838,49.30417690996,,,,,,,2170861124943110272,,,STAR,gaia2,gaia2,1.567,0.511,-0.678,0.479,gaia2,1.3672,0.2746,20.040,0.102,18.952101,0.002954,17.885,0.010,gbprp,gaia2,,,,,,,,,,,755.0930,197.0180,0.2829,0.0468,149.5430,244.4940,321.56292905390,49.30417399009,321.562785541889,49.3050475946988,1052,2170861124950678784,321.56278554189,49.3050475947,145.058649332168,Tail,M,2RXS_UP,,,13.3828148225965,,,,,,321.56278554189,49.3050475947
0.948671,387652382,323.57756802549,48.26472064590,,,,21341862+4815530,,J213418.65+481553.3,1978445868531580160,,,STAR,tmgaia2,tmgaia2,46.694,0.147,39.569,0.152,gaia2,7.3915,0.0813,,,16.711399,0.000938,15.309,0.008,cdwrf,cdwrf,3151.0,157.0,4.9138,0.0030,,,0.311,0.010,0.289,0.021,134.7920,1.4885,0.0237,0.0110,1.4730,1.5040,323.57787003013,48.26489101368,323.577870030128,48.264891013683,1053,1978445868531580160,323.57787003013,48.26489101368,140.186689220295,Tail,M,2RXS_UP,,,13.2212736235318,,,,,,323.57787003013,48.26489101368
2.549849,2011201459,323.57841218458,48.26550046057,,,,,,,1978445868523797376,,,STAR,gaia2,gaia2,-4.737,1.605,-1.021,2.550,gaia2,0.5349,0.9635,21.227,0.197,20.684900,0.013838,19.864,0.064,gbprp,gaia2,,,,,,,,,,,2021.3800,1461.5300,0.3224,0.0675,1053.4100,1869.6500,323.57838154429,48.26549606430,323.577870030128,48.264891013683,1053,1978445868531580160,323.57787003013,48.26489101368,140.186689220295,Tail,M,2RXS_UP,,,13.2212736235318,,,,,,323.57787003013,48.26489101368
1.029413,278526610,324.80052850190,49.49598840790,,,,21391212+4929455,,J213912.18+492945.9,1978906632625126400,,,STAR,tmgaia2,tmgaia2,52.140,0.170,41.136,0.170,gaia2,7.9043,0.1150,18.160,0.200,17.103600,0.000991,15.702,0.008,cdwrf,cdwrf,3151.0,157.0,4.9898,0.0111,,,0.247,0.009,0.218,0.021,126.1000,1.8425,0.0071,0.0054,1.8160,1.8690,324.80087413889,49.49616552347,324.800874138885,49.4961655234677,1054,1978906632625126400,324.80087413888,49.49616552347,131.011693608005,Tail,M,2RXS_UP,,,11.4335519459638,,,,,,324.80087413888,49.49616552347
1.311876,421156508,325.77913277918,50.28072862684,,,702-090816,21430699+5016506,,J214307.05+501651.2,1979047610626921088,55267705,,STAR,tmgaia2,tmgaia2,66.912,0.066,51.829,0.057,gaia2,9.7040,0.0357,12.912,0.217,12.557900,0.000257,11.747,0.006,rered,gaia2,4070.0,128.7,4.5512,0.1125,,,0.701,0.070,0.637,0.077,102.7460,0.3795,0.0078,0.0117,0.3780,0.3810,325.77958360802,50.28095178207,325.779583608024,50.2809517820679,1055,1979047610626921088,325.77958360802,50.28095178207,108.758693655356,Tail,M,2RXS_UP,,,8.23358513634019,,,,,,325.77958360802,50.28095178207
4.535259,2011551850,325.77771306588,50.28134965371,,,,,,,1979041735111659904,,,STAR,gaia2,gaia2,-4.284,0.122,-3.761,0.115,gaia2,-0.0509,0.0651,16.684,0.046,16.287800,0.000853,15.633,0.087,rered,gaia2,,,,,,,,,,,7276.0698,1863.3000,1.3457,0.0960,1582.5601,2144.0400,325.77768420035,50.28133345893,325.779583608024,50.2809517820679,1055,1979047610626921088,325.77958360802,50.28095178207,108.758693655356,Tail,M,2RXS_UP,,,8.23358513634019,,,,,,325.77958360802,50.28095178207
