Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
R56                    |10 41 45.24|-64 28 03.6|IC2602  |149.0|13.64| 3.39|     |29.59| 4.10| 0.73| 0.69| 0.18|4253| 0.60|-3.24
                       |10 41 54.13|+34 44 44.9|Field   | 21.0|14.17| 4.65|     |28.29| 0.45| 0.18| 0.19| 0.00|3230| 0.00|-2.96
R57                    |10 42 28.10|-64 36 11.9|IC2602  |149.0|15.59| 4.69|     |29.04| 8.70| 0.54| 0.53| 0.07|3841| 0.46|-3.40
R58                    |10 42 41.52|-64 21 04.4|IC2602  |149.0|10.57| 1.64|     |30.34| 0.57| 1.17| 1.08| 1.38|5836| 0.81|-3.39
HD 92855               |10 44 00.62|+46 12 23.9|Field   | 36.0| 7.28| 1.34|F9   |29.20| 4.41| 1.15| 1.10| 1.43|5838| 0.76|-4.51
R66                    |10 44 06.81|-63 59 35.1|IC2602  |149.0|11.07| 1.67|     |29.65| 3.30| 1.06| 0.96| 0.88|5529| 1.00|-3.88
R70                    |10 44 22.56|-64 15 30.1|IC2602  |149.0|10.92| 1.51|     |29.01| 4.30| 1.10| 1.00| 0.99|5624| 1.00|-4.57
R72                    |10 44 59.62|-65 02 19.1|IC2602  |149.0|10.89| 1.65|     |30.44| 1.05| 1.10| 1.00| 1.03|5650| 1.00|-3.16
R77                    |10 45 18.55|-63 32 26.5|IC2602  |149.0|14.12| 3.64|     |28.93|10.10| 0.68| 0.64| 0.13|4089| 0.60|-3.78
B134                   |10 45 30.02|-64 25 20.9|IC2602  |149.0|10.66| 2.29|     |29.95| 6.80| 1.20| 1.12| 1.56|5928| 0.81|-3.83
R83                    |10 46 14.83|-64 02 58.1|IC2602  |149.0|10.70| 1.51|     |29.97| 1.67| 1.14| 1.05| 1.21|5746| 1.00|-3.70
R88                    |10 46 35.32|-64 03 44.6|IC2602  |149.0|12.71| 2.98|     |29.39| 0.20| 0.83| 0.79| 0.32|4730| 0.66|-3.71
R89                    |10 46 51.81|-63 34 15.7|IC2602  |149.0|12.97| 2.94|     |29.34| 4.80| 0.78| 0.75| 0.25|4521| 0.66|-3.64
R92                    |10 48 18.38|-64 09 53.2|IC2602  |149.0|10.26| 1.67|     |29.96| 2.00| 1.23| 1.17| 1.85|6041| 0.81|-3.89
R93                    |10 48 25.39|-64 22 44.0|IC2602  |149.0|13.79| 3.37|     |29.04| 6.70| 0.71| 0.67| 0.15|4162| 0.60|-3.73
R94                    |10 49 26.40|-64 39 00.0|IC2602  |149.0|13.33| 3.53|     |29.39| 2.60| 0.79| 0.76| 0.26|4545| 0.66|-3.60
R95                    |10 49 48.39|-64 46 28.4|IC2602  |149.0|11.73| 2.16|     |30.21| 1.20| 0.95| 0.87| 0.55|5190| 0.69|-3.12
R96                    |10 49 56.85|-63 48 19.1|IC2602  |149.0|12.94| 3.03|     |29.67| 1.82| 0.80| 0.77| 0.27|4602| 0.66|-3.35
GJ NN3629              |10 51 20.60|+36 07 25.6|Field   | 10.0|13.57| 5.00|     |28.17| 3.78| 0.14| 0.15| 0.00|3098| 0.00|-2.83
                       |10 51 26.86|+48 41 43.6|Field   | 35.0|12.04| 3.63|     |28.97| 4.14| 0.50| 0.43| 0.04|3807| 0.54|-3.26
HD 95188               |10 59 48.28|+25 17 23.5|Field   | 36.0| 8.49| 1.77|G8   |28.78| 7.02| 0.94| 0.85| 0.52|5148| 0.70|-4.43
HD 95188               |10 59 48.28|+25 17 23.5|Field   | 36.0| 8.49| 1.77|G8   |28.78| 6.81| 0.94| 0.85| 0.52|5148| 0.70|-4.52
HD 95650               |11 02 38.34|+21 58 01.7|Field   | 12.0| 9.57| 3.73|M1   |28.50| 2.94| 0.53| 0.45| 0.05|3847| 0.54|-3.80
                       |11 03 10.00|+36 39 08.5|Field   | 12.0|13.45| 4.82|     |28.24| 2.06| 0.15| 0.17| 0.00|3166| 0.00|-2.89
                       |11 03 17.04|+49 48 25.5|Field   | 97.0|13.54| 3.43|     |29.44| 0.19| 0.60| 0.51| 0.08|3970| 0.61|-3.03
HD 95735               |11 03 20.19|+35 58 11.6|Field   |  2.5| 7.49| 3.79|M2   |26.80|48.00| 0.34| 0.31| 0.02|3580| 0.00|-5.04
                       |11 06 04.76|+42 52 49.7|Field   | 40.0|14.72| 4.30|     |28.71|10.75| 0.23| 0.23| 0.01|3388| 0.00|-2.80
                       |11 07 02.72|+44 00 17.2|Field   | 58.0|12.35| 3.40|     |28.75| 9.78| 0.61| 0.52| 0.08|3996| 0.61|-3.75
                       |11 10 56.25|+40 20 42.8|Field   | 20.0|14.31| 4.74|     |28.06| 1.13| 0.16| 0.18| 0.00|3194| 0.00|-3.12
GJ NN3647              |11 11 51.76|+33 32 11.2|Field   |  6.9|12.38| 4.88|     |28.26| 7.78| 0.15| 0.16| 0.00|3142| 0.00|-2.83
HD 97334               |11 12 32.35|+35 48 50.7|Field   | 22.0| 6.41| 1.46|G1   |29.10| 7.60| 1.11| 1.05| 1.21|5733| 0.76|-4.57
HD 98712               |11 21 26.66|-20 27 13.6|Field   | 13.0| 8.57| 3.19|K6   |28.50|11.60| 0.68| 0.59| 0.12|4173| 0.65|-4.16
BT_UMa                 |11 30 53.70|+44 14 36.2|Field   | 12.0|13.72| 4.92|     |27.62|12.41| 0.14| 0.16| 0.00|3126| 0.00|-3.44
HD 100180              |11 31 44.95|+14 21 52.2|Field   | 23.0| 6.27| 1.24|F7   |27.77|14.00| 1.16| 1.11| 1.50|5867| 0.82|-5.94
GJ 431                 |11 31 46.51|-41 02 47.2|Field   | 10.0|11.50| 4.99|     |28.71|14.31| 0.34| 0.31| 0.02|3580| 0.00|-3.13
                       |11 33 52.77|+36 13 31.1|Field   | 66.0|11.85| 3.14|     |29.73| 1.45| 0.71| 0.62| 0.14|4266| 0.65|-3.00
                       |11 36 40.81|+39 11 27.0|Field   | 24.0| 9.99| 3.38|     |27.80|23.19| 0.68| 0.59| 0.12|4183| 0.65|-4.87
                       |11 38 25.85|+39 51 23.0|Field   | 68.0|13.45| 3.62|     |29.69| 0.68| 0.51| 0.43| 0.05|3815| 0.54|-2.56
HD 101472              |11 40 36.59|-08 24 20.4|Field   | 39.0| 7.41| 1.42|G0   |29.11| 4.46| 1.16| 1.12| 1.53|5884| 0.82|-4.61
HD 101501              |11 41 03.02|+34 12 05.9|Field   |  9.5| 5.31| 1.77|G8   |28.22|16.68| 0.99| 0.90| 0.67|5347| 0.72|-5.15
HD 102077              |11 44 38.46|-49 25 02.8|Field   | 49.0| 8.91| 1.95|K0   |30.00| 1.80| 0.99| 0.90| 0.68|5352| 0.72|-3.42
HD 102195              |11 45 42.29|+02 49 17.3|Field   | 29.0| 8.07| 1.95|K0   |28.03|12.30| 0.94| 0.85| 0.52|5153| 0.70|-5.23
                       |11 52 57.16|+35 54 45.9|Field   | 19.0|13.64| 4.51|     |28.34| 2.69| 0.20| 0.21| 0.01|3289| 0.00|-3.02
HD 104576              |12 02 39.46|-10 42 49.1|Field   | 49.0| 8.53| 1.42|G0   |29.60| 9.10| 1.04| 0.96| 0.87|5507| 0.72|-3.91
                       |12 11 52.06|+39 57 28.9|Field   | 46.0|11.43| 3.27|     |29.42| 1.75| 0.66| 0.57| 0.11|4125| 0.65|-3.20
GJ 1154A               |12 14 17.21|+00 37 25.0|Field   |  8.4|13.73| 5.60|     |27.77| 0.65| 0.13| 0.15| 0.00|3082| 0.00|-3.20
HD 106516              |12 15 10.56|-10 18 44.6|Field   | 23.0| 6.11| 1.19|F6   |27.93| 6.91| 1.18| 1.15| 1.67|5945| 0.82|-5.82
GJ 1156                |12 18 59.40|+11 07 33.9|Field   |  6.5|13.81| 6.24|     |27.65| 0.87| 0.13| 0.15| 0.00|3068| 0.00|-3.29
                       |12 20 35.96|+42 19 18.1|Field   | 45.0|12.58| 3.62|     |29.27| 0.89| 0.51| 0.43| 0.05|3812| 0.54|-2.97
                       |12 24 48.31|+40 43 37.4|Field   | 27.0|12.07| 3.78|     |28.08|10.08| 0.42| 0.36| 0.03|3693| 0.09|-3.95
                       |12 29 02.90|+41 43 49.7|Field   |  8.9|12.72| 4.79|     |28.10|13.59| 0.16| 0.17| 0.00|3178| 0.00|-3.04
                       |12 29 39.64|+34 49 01.2|Field   | 80.0|13.15| 3.44|     |29.47| 0.41| 0.60| 0.51| 0.08|3964| 0.61|-2.99
HD 111813              |12 51 38.41|+25 30 31.8|Field   | 38.0| 9.09| 2.03|K1   |28.54| 7.74| 0.86| 0.78| 0.35|4876| 0.70|-4.52
GJ 490                 |12 57 40.26|+35 13 30.0|Field   | 19.0|10.60| 4.05|     |28.95| 3.17| 0.58| 0.49| 0.07|3940| 0.61|-3.48
GJ 493.1               |13 00 33.51|+05 41 08.1|Field   |  8.1|13.40| 5.74|     |27.92| 0.21| 0.15| 0.17| 0.00|3160| 0.00|-3.20
GJ 494                 |13 00 46.58|+12 22 32.6|Field   | 12.0| 9.80| 4.22|     |29.02| 1.54| 0.56| 0.47| 0.06|3896| 0.61|-3.36
HD 113449              |13 03 49.66|-05 09 42.5|Field   | 22.0| 7.69| 1.64|G5   |28.93| 6.47| 0.89| 0.80| 0.40|4973| 0.70|-4.16
HD 114378              |13 09 59.28|+17 31 46.0|Field   | 18.0| 4.32| 1.08|F5   |29.13| 3.02| 1.50| 1.59| 5.32|6772| 0.96|-4.94
HD 114710              |13 11 52.39|+27 52 41.5|Field   |  9.2| 4.23| 1.42|G0   |28.06|12.35| 1.17| 1.13| 1.58|5905| 0.82|-5.66
HD 115043              |13 13 37.01|+56 42 29.8|Field   | 26.0| 6.82| 1.46|G1   |28.95| 6.00| 1.11| 1.04| 1.16|5711| 0.76|-4.63
HD 115383              |13 16 46.52|+09 25 27.0|Field   | 18.0| 5.19| 1.29|F8   |29.51| 3.33| 1.27| 1.28| 2.49|6218| 0.88|-4.41
HD 115404              |13 16 51.05|+17 01 01.9|Field   | 11.0| 6.49| 2.03|K1   |28.00|18.47| 0.86| 0.77| 0.34|4852| 0.70|-5.08
HD 115617              |13 18 24.31|-18 18 40.3|Field   |  8.5| 4.74| 1.69|G6   |26.60|29.00| 1.05| 0.97| 0.90|5532| 0.72|-6.90
                       |13 21 24.32|+39 16 56.9|Field   | 74.0|11.88| 3.02|     |29.56| 0.60| 0.73| 0.64| 0.16|4350| 0.65|-3.24
DE_CVn                 |13 26 53.26|+45 32 46.7|Field   | 18.0|12.80| 4.24|     |28.68| 0.36| 0.24| 0.24| 0.01|3418| 0.00|-2.86
                       |13 27 12.11|+45 58 26.6|Field   | 50.0|11.13| 3.09|     |29.62| 2.17| 0.72| 0.63| 0.15|4308| 0.65|-3.15
G 165-08               |13 31 46.62|+29 16 36.7|Field   |  7.9|11.45| 4.73|     |28.31| 0.28| 0.24| 0.24| 0.01|3407| 0.00|-3.22
                       |13 33 32.92|+36 41 44.9|Field   | 45.0|13.95| 3.98|     |28.30|15.36| 0.33| 0.30| 0.02|3566| 0.00|-3.51
HD 118100              |13 34 43.21|-08 20 31.3|Field   | 20.0| 9.24| 2.73|K4   |29.20| 3.96| 0.66| 0.57| 0.11|4123| 0.65|-3.42
HD 120136              |13 47 15.74|+17 27 24.9|Field   | 16.0| 4.50| 1.24|F7   |28.95| 3.20| 1.36| 1.42| 3.52|6458| 0.93|-5.12
                       |13 55 00.18|+35 24 28.6|Field   | 18.0|14.65| 4.93|     |27.72| 0.48| 0.14| 0.16| 0.00|3124| 0.00|-3.33
GJ 551                 |14 29 42.95|-62 40 46.1|Field   |  1.3|11.05| 6.81|     |27.04|42.00| 0.12| 0.14| 0.00|2979| 0.00|-3.81
HD 128311              |14 36 00.56|+09 44 47.5|Field   | 17.0| 7.48| 1.95|K0   |28.52|11.54| 0.83| 0.75| 0.29|4750| 0.68|-4.44
HD 129333              |14 39 00.21|+64 17 30.0|Field   | 34.0| 7.60| 1.29|F8   |30.01| 2.67| 1.06| 0.99| 0.96|5575| 0.76|-3.56
HD 128621              |14 39 35.08|-60 50 13.8|Field   |  1.4| 1.35| 2.15|K2   |27.06|36.20| 0.96| 0.87| 0.59|5243| 0.72|-6.30
HD 130307              |14 47 16.10|+02 42 11.6|Field   | 20.0| 7.76| 1.77|G8   |28.05|21.79| 0.83| 0.75| 0.30|4764| 0.68|-4.93
HD 131156 B            |14 51 23.05|+19 06 06.8|Field   |  6.7| 6.82| 2.73|K4   |28.01|11.94| 0.67| 0.58| 0.12|4158| 0.65|-4.54
HD 131156 A            |14 51 23.09|+19 06 02.2|Field   |  6.7| 4.67| 1.77|G8   |28.89| 6.31| 0.96| 0.87| 0.60|5248| 0.72|-4.41
GJ 569A                |14 54 29.24|+16 06 03.8|Field   |  9.7|10.20| 4.43|     |27.49|13.68| 0.45| 0.38| 0.03|3732| 0.09|-4.62
HD 132173              |14 58 30.52|-28 42 34.3|Field   | 49.0| 7.66| 1.42|G0   |29.21| 4.92| 1.21| 1.20| 1.92|6044| 0.82|-4.61
                       |14 59 25.08|+36 18 32.1|Field   | 14.0|14.56| 5.18|     |27.70| 4.17| 0.13| 0.14| 0.00|3039| 0.00|-3.21
                       |15 00 42.61|+35 05 16.9|Field   | 59.0|12.30| 3.38|     |29.17| 5.66| 0.62| 0.53| 0.09|4015| 0.61|-3.35
HD 133295              |15 04 33.08|-28 18 00.6|Field   | 34.0| 7.18| 1.42|G0/G1|29.05| 5.00| 1.15| 1.10| 1.43|5837| 0.76|-4.64
HD 134319              |15 05 49.90|+64 02 50.0|Field   | 44.0| 8.40| 1.64|G5   |29.27| 4.43| 1.03| 0.95| 0.83|5477| 0.72|-4.17
                       |15 07 23.83|+43 33 53.1|Field   | 14.0|13.48| 4.70|     |28.33| 1.88| 0.17| 0.18| 0.00|3211| 0.00|-2.88
HD 135363              |15 07 56.26|+76 12 02.7|Field   | 29.0| 8.72| 1.64|G5   |30.14| 1.90| 0.82| 0.73| 0.27|4700| 0.68|-2.96
                       |15 10 39.11|+33 41 21.8|Field   | 25.0|11.06| 3.56|     |27.95|13.91| 0.54| 0.45| 0.06|3862| 0.54|-4.38
LW Lup                 |15 18 26.92|-37 38 02.1|Field   | 78.0|10.92| 2.41|     |30.41| 2.98| 0.85| 0.76| 0.32|4808| 0.68|-3.16
                       |15 18 48.33|+43 54 50.2|Field   |185.0|14.25| 3.21|     |29.94| 0.52| 0.69| 0.60| 0.13|4209| 0.65|-2.75
                       |15 19 21.26|+34 03 43.2|Field   | 13.0|15.00| 5.46|     |27.64| 2.21| 0.12| 0.13| 0.00|2954| 0.00|-3.17
GJ 9520                |15 21 52.93|+20 58 39.9|Field   | 11.0|10.16| 4.40|     |28.97| 0.37| 0.51| 0.43| 0.05|3824| 0.54|-3.29
                       |15 22 58.88|+36 44 29.2|Field   | 50.0|12.77| 3.61|     |29.04| 5.65| 0.51| 0.43| 0.05|3822| 0.54|-3.22
                       |15 27 48.48|+35 36 57.3|Field   | 75.0|13.80| 3.65|     |29.39| 0.13| 0.49| 0.42| 0.04|3791| 0.54|-2.82
                       |15 27 51.07|+43 31 02.2|Field   | 27.0|13.36| 4.12|     |28.37| 1.11| 0.28| 0.26| 0.01|3481| 0.00|-3.28
                       |15 32 37.37|+46 53 04.9|Field   |  8.5|12.14| 4.62|     |27.86|10.54| 0.18| 0.19| 0.00|3243| 0.00|-3.42
                       |15 36 50.38|+37 34 49.6|Field   | 58.0|11.22| 3.62|     |29.82| 4.61| 0.81| 0.73| 0.26|4680| 0.68|-3.18
                       |15 46 23.17|+44 03 14.9|Field   | 47.0|11.79| 3.37|     |29.31| 6.46| 0.62| 0.53| 0.09|4029| 0.61|-3.22
HD 141004              |15 46 26.61|+07 21 11.1|Field   | 12.0| 4.42| 1.42|G0   |27.67|25.80| 1.24| 1.24| 2.21|6131| 0.82|-6.20
                       |15 47 27.44|+45 07 51.2|Field   |  8.0|13.37| 5.16|     |26.92| 3.54| 0.13| 0.14| 0.00|3047| 0.00|-4.00
HD 141272              |15 48 09.46|+01 34 18.3|Field   | 21.0| 7.44| 1.77|G8   |28.84|14.05| 0.92| 0.83| 0.47|5089| 0.70|-4.34
                       |15 51 21.91|+35 40 24.5|Field   |125.0|12.98| 3.01|     |29.90| 2.11| 0.73| 0.65| 0.17|4362| 0.65|-2.91
                       |15 53 04.85|+44 57 44.6|Field   | 14.0|14.27| 5.03|     |28.33| 0.10| 0.14| 0.15| 0.00|3090| 0.00|-2.66
HD 142361              |15 54 59.86|-23 47 18.2|Field   | 48.0| 8.96| 1.93|     |30.71| 1.06| 0.97| 0.89| 0.62|5284| 0.72|-3.35
                       |15 56 58.24|+37 38 13.8|Field   | 12.0|13.33| 4.75|     |28.33| 0.31| 0.16| 0.17| 0.00|3190| 0.00|-2.83
                       |16 03 51.74|+42 36 54.3|Field   | 90.0|12.72| 3.22|     |29.80| 0.79| 0.69| 0.60| 0.12|4195| 0.65|-2.88
HD 145229              |16 09 26.63|+11 34 28.1|Field   | 33.0| 7.45| 1.42|G0   |28.95| 8.40| 1.09| 1.01| 1.06|5650| 0.76|-4.62
                       |16 15 59.40|+38 52 10.2|Field   | 30.0|11.81| 3.65|     |28.88| 2.37| 0.49| 0.42| 0.04|3791| 0.54|-3.33
                       |16 18 24.92|+44 37 11.0|Field   | 15.0|14.87| 5.27|     |27.89| 4.07| 0.12| 0.14| 0.00|3013| 0.00|-2.99
                       |16 24 14.83|+48 23 25.9|Field   | 27.0|14.02| 4.36|     |28.52| 1.63| 0.23| 0.23| 0.01|3361| 0.00|-2.95
                       |16 24 31.40|+45 49 57.0|Field   | 16.0|14.65| 5.05|     |27.87| 2.36| 0.13| 0.15| 0.00|3082| 0.00|-3.10
                       |16 27 37.56|+35 41 42.9|Field   | 13.0|13.52| 4.78|     |28.22| 0.68| 0.16| 0.17| 0.00|3181| 0.00|-2.93
                       |16 31 59.00|+48 28 17.5|Field   | 38.0|14.71| 4.35|     |28.43| 0.98| 0.23| 0.23| 0.01|3367| 0.00|-3.05
HD 149661              |16 36 21.45|-02 19 28.5|Field   |  9.8| 5.77| 1.95|K0   |28.16|21.07| 0.93| 0.84| 0.49|5116| 0.70|-5.08
HD 150554              |16 40 56.44|+21 56 53.3|Field   | 45.0| 7.67| 1.29|F8   |28.58|10.80| 1.17| 1.13| 1.57|5900| 0.82|-5.15
                       |16 47 47.70|+29 30 50.4|Field   | 48.0|14.41| 4.05|     |28.79| 0.22| 0.30| 0.28| 0.01|3524| 0.00|-2.92
                       |16 51 07.30|+28 36 01.0|Field   | 23.0|11.55| 3.74|     |28.70|16.15| 0.44| 0.38| 0.03|3724| 0.09|-3.40
                       |16 52 56.77|+25 57 30.7|Field   | 27.0|13.92| 4.32|     |27.90|20.22| 0.23| 0.23| 0.01|3379| 0.00|-3.59
HD 152391              |16 52 58.80|-00 01 35.1|Field   | 17.0| 6.65| 1.71|G7   |28.94|11.43| 0.97| 0.88| 0.61|5266| 0.72|-4.40
HD 152555              |16 54 08.14|-04 20 24.7|Field   | 48.0| 7.82| 1.42|G0   |29.53| 2.77| 1.17| 1.13| 1.57|5899| 0.82|-4.19
                       |16 55 37.66|+29 06 25.2|Field   | 57.0|11.89| 3.27|     |28.54| 7.79| 0.66| 0.57| 0.11|4128| 0.65|-4.08
GJ 2123A               |16 56 48.57|-39 05 38.1|Field   | 16.0|11.18| 4.69|     |29.53| 0.32| 0.50| 0.42| 0.04|3802| 0.54|-2.69
                       |16 57 27.32|+32 04 42.1|Field   |144.0|14.76| 3.53|     |29.51| 3.13| 0.55| 0.46| 0.06|3883| 0.54|-2.85
                       |17 03 52.83|+32 11 45.6|Field   |  6.2|11.83| 4.75|     |27.94|14.54| 0.16| 0.17| 0.00|3191| 0.00|-3.23
                       |17 04 06.82|+39 05 07.7|Field   | 41.0|13.60| 3.94|     |28.54| 2.32| 0.34| 0.31| 0.02|3589| 0.00|-3.31
HD 154417              |17 05 16.82|+00 42 09.2|Field   | 20.0| 6.00| 1.34|F9   |28.82| 7.80| 1.16| 1.12| 1.52|5878| 0.82|-4.95
                       |17 08 07.11|+48 29 26.8|Field   | 14.0|13.70| 4.76|     |27.72| 1.75| 0.16| 0.17| 0.00|3187| 0.00|-3.44
                       |17 10 44.52|+27 27 43.9|Field   | 28.0|13.90| 4.28|     |28.29| 0.67| 0.24| 0.24| 0.01|3399| 0.00|-3.23
HD 155886              |17 15 20.85|-26 36 09.0|Field   |  5.9| 5.08| 1.95|K0   |27.98|20.69| 0.86| 0.77| 0.34|4856| 0.70|-5.02
HD 155885              |17 15 20.98|-26 36 10.2|Field   |  6.0| 4.33| 2.03|K1   |27.98|21.11| 1.00| 0.92| 0.71|5391| 0.72|-5.04
HD 156026              |17 16 13.36|-26 32 46.1|Field   |  6.0| 6.33| 2.83|K5   |27.50|18.00| 0.72| 0.63| 0.15|4319| 0.65|-5.28
                       |17 18 00.21|+33 58 06.6|Field   |192.0|14.26| 3.18|     |29.95| 1.09| 0.70| 0.61| 0.13|4238| 0.65|-2.76
GJ 669A                |17 19 54.20|+26 30 03.1|Field   | 12.0|11.42| 5.00|     |28.89|19.81| 0.39| 0.35| 0.02|3660| 0.09|-3.12
                       |17 21 27.69|+30 28 53.1|Field   |120.0|12.37| 2.72|     |29.58| 3.04| 0.79| 0.70| 0.22|4565| 0.68|-3.35
                       |17 24 28.29|+40 20 55.9|Field   | 69.0|13.13| 3.53|     |29.17| 1.81| 0.55| 0.47| 0.06|3887| 0.61|-3.19
GJ 673                 |17 25 45.23|+02 06 41.1|Field   |  7.7| 7.54| 3.40|     |27.64|11.94| 0.68| 0.59| 0.12|4174| 0.65|-5.02
                       |17 27 19.51|+27 09 01.0|Field   | 18.0|13.45| 4.48|     |28.07| 5.34| 0.20| 0.21| 0.01|3305| 0.00|-3.32
GJ 674                 |17 28 39.95|-46 53 42.7|Field   |  4.5| 9.36| 4.50|     |27.61|33.29| 0.33| 0.30| 0.02|3570| 0.00|-4.21
                       |17 30 03.47|+29 30 11.7|Field   | 17.0|14.17| 4.79|     |27.93| 1.67| 0.16| 0.17| 0.00|3177| 0.00|-3.21
                       |17 30 26.73|+33 44 52.3|Field   |  9.5|13.72| 5.14|     |26.98|19.84| 0.13| 0.14| 0.00|3053| 0.00|-3.94
GJ 685                 |17 35 34.48|+61 40 53.6|Field   | 14.0| 9.90| 3.83|     |27.40|18.60| 0.55| 0.47| 0.06|3891| 0.61|-4.97
                       |17 36 59.26|+48 59 46.0|Field   | 14.0|13.23| 4.61|     |28.33| 2.61| 0.18| 0.19| 0.01|3249| 0.00|-2.96
                       |17 37 35.66|+46 39 23.3|Field   |155.0|13.76| 3.16|     |29.13| 3.32| 0.70| 0.61| 0.14|4249| 0.65|-3.59
                       |17 38 00.78|+33 29 45.7|Field   | 28.0|11.27| 3.56|     |28.66|12.09| 0.53| 0.45| 0.05|3860| 0.54|-3.66
HD 160346              |17 39 16.92|+03 33 18.9|Field   | 11.0| 6.53| 2.41|K3   |27.48|36.40| 0.86| 0.77| 0.35|4862| 0.70|-5.59
                       |17 41 57.64|+47 53 54.3|Field   | 18.0|14.54| 4.93|     |27.74|32.23| 0.14| 0.16| 0.00|3126| 0.00|-3.32
                       |17 44 08.34|+47 34 40.3|Field   | 22.0|14.31| 4.67|     |27.92| 4.45| 0.17| 0.19| 0.00|3225| 0.00|-3.32
                       |17 53 38.58|+29 12 26.3|Field   | 47.0|13.03| 3.71|     |28.70| 3.62| 0.45| 0.39| 0.03|3742| 0.54|-3.43
                       |17 54 17.85|+33 02 19.1|Field   | 13.0|14.69| 5.33|     |27.69| 0.69| 0.12| 0.14| 0.00|2992| 0.00|-3.17
                       |17 54 33.70|+36 53 54.0|Field   | 30.0|11.71| 3.63|     |28.53| 1.31| 0.50| 0.42| 0.04|3806| 0.54|-3.70
HD 163621              |17 55 24.68|+36 11 19.9|Field   | 31.0| 7.92| 1.64|G5   |30.24| 3.20| 0.97| 0.89| 0.63|5287| 0.72|-3.05
                       |17 55 38.67|+48 57 41.4|Field   | 18.0|14.32| 4.82|     |28.02| 2.24| 0.15| 0.17| 0.00|3165| 0.00|-3.11
                       |17 55 50.04|+33 25 14.6|Field   | 25.0|10.16| 3.02|     |28.01| 9.72| 0.63| 0.54| 0.09|4047| 0.61|-4.54
                       |17 57 49.34|+47 16 28.5|Field   | 89.0|14.48| 3.73|     |28.68| 5.45| 0.44| 0.38| 0.03|3729| 0.09|-3.42
                       |17 57 50.96|+46 35 18.2|Field   | 14.0|11.78| 4.78|     |27.50|31.64| 0.37| 0.33| 0.02|3627| 0.09|-4.41
                       |18 01 02.03|+30 07 39.4|Field   | 38.0|14.32| 4.19|     |28.61| 5.69| 0.26| 0.25| 0.01|3446| 0.00|-2.97
HD 165341              |18 05 27.29|+02 30 00.4|Field   |  5.1| 4.03| 1.95|K0   |28.20|19.70| 0.99| 0.90| 0.66|5335| 0.72|-5.21
                       |18 07 42.32|+43 44 41.9|Field   |243.0|14.97| 3.25|     |29.80| 1.41| 0.67| 0.58| 0.12|4158| 0.65|-2.85
                       |18 08 44.22|+39 38 20.6|Field   | 61.0|12.94| 3.55|     |29.18| 3.12| 0.54| 0.46| 0.06|3871| 0.54|-3.16
HD 166435              |18 09 21.38|+29 57 06.2|Field   | 25.0| 6.84| 1.42|G0   |29.44| 3.80| 1.09| 1.02| 1.08|5668| 0.76|-4.14
HD 166620              |18 09 37.42|+38 27 28.0|Field   | 11.0| 6.38| 2.15|K2   |26.96|42.40| 0.89| 0.79| 0.39|4958| 0.70|-6.18
                       |18 11 57.38|+40 17 23.0|Field   |113.0|12.69| 2.97|     |29.80| 0.75| 0.74| 0.65| 0.17|4389| 0.65|-3.02
                       |18 13 13.39|+36 23 40.3|Field   | 30.0|13.95| 4.23|     |28.31| 8.62| 0.25| 0.24| 0.01|3425| 0.00|-3.24
LHS 3376               |18 18 57.26|+66 11 33.2|Field   |  7.3|13.48| 5.53|     |27.30| 0.22| 0.13| 0.14| 0.00|3053| 0.00|-3.62
HD 168603              |18 19 08.82|+33 13 52.6|Field   | 37.0| 8.28| 1.95|K0   |28.82| 4.83| 1.00| 0.91| 0.69|5371| 0.72|-4.52
                       |18 20 15.74|+44 35 54.3|Field   | 34.0|13.35| 3.98|     |28.61| 6.65| 0.33| 0.30| 0.02|3564| 0.00|-3.19
                       |18 22 21.73|+37 09 08.8|Field   |111.0|13.26| 3.25|     |29.33| 6.38| 0.67| 0.58| 0.12|4160| 0.65|-3.32
                       |18 24 49.37|+32 32 46.4|Field   |105.0|12.66| 3.04|     |29.58| 6.80| 0.73| 0.64| 0.16|4344| 0.65|-3.21
HD 170778              |18 29 03.93|+43 56 21.4|Field   | 37.0| 7.49| 1.64|G5   |29.45| 6.46| 1.13| 1.07| 1.33|5788| 0.76|-4.19
                       |18 30 14.92|+31 54 56.0|Field   | 87.0|13.28| 3.42|     |29.17| 1.79| 0.60| 0.51| 0.08|3977| 0.61|-3.31
HD 172649              |18 39 42.12|+37 59 35.1|Field   | 47.0| 7.50| 1.08|F5   |29.11| 3.94| 1.22| 1.21| 2.02|6073| 0.82|-4.74
                       |18 44 11.40|+48 14 11.9|Field   | 52.0|12.51| 3.52|     |28.86|21.52| 0.55| 0.47| 0.06|3891| 0.61|-3.51
                       |18 47 51.95|+27 57 03.5|Field   | 83.0|12.06| 2.99|     |29.79| 0.48| 0.73| 0.65| 0.17|4371| 0.65|-3.02
GJ 729                 |18 49 49.36|-23 50 10.4|Field   |  3.0|10.95| 5.58|     |27.05| 2.87| 0.16| 0.18| 0.00|3191| 0.00|-4.12
                       |18 57 49.97|+33 52 36.0|Field   |101.0|11.83| 2.62|     |29.22| 0.44| 0.80| 0.72| 0.24|4641| 0.68|-3.75
