Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
2MASS J08100412-4915577|08 10 04.12|-49 15 57.7|NGC2547 |407.0|18.59| 4.92|     |28.92| 1.62| 0.39| 0.47| 0.04|3662| 0.31|-3.30
2MASS J08100508-4901575|08 10 05.08|-49 01 57.6|NGC2547 |407.0|16.99| 4.08|     |29.09| 5.86| 0.62| 0.61| 0.10|3944| 0.52|-3.51
2MASS J08100542-4907585|08 10 05.42|-49 07 58.4|NGC2547 |407.0|18.49| 4.97|     |29.28| 0.49| 0.42| 0.49| 0.05|3698| 0.31|-3.00
2MASS J08100708-4912597|08 10 07.08|-49 12 59.7|NGC2547 |407.0|18.79| 5.04|     |29.50| 1.56| 0.37| 0.46| 0.04|3626| 0.31|-2.69
2MASS J08100749-4910447|08 10 07.48|-49 10 44.7|NGC2547 |407.0|16.33| 3.80|     |29.59| 1.46| 0.71| 0.68| 0.15|4124| 0.58|-3.18
2MASS J08100893-4915413|08 10 08.94|-49 15 41.3|NGC2547 |407.0|15.63| 3.29|     |29.66| 4.41| 0.77| 0.74| 0.21|4333| 0.64|-3.25
2MASS J08101374-4917112|08 10 13.75|-49 17 11.2|NGC2547 |407.0|17.83| 4.52|     |29.66| 1.70| 0.50| 0.53| 0.07|3784| 0.44|-2.74
2MASS J08101431-4928268|08 10 14.35|-49 28 26.5|NGC2547 |407.0|17.86| 4.66|     |29.31| 1.22| 0.52| 0.54| 0.07|3802| 0.44|-3.12
2MASS J08101489-4902223|08 10 14.90|-49 02 22.4|NGC2547 |407.0|15.94| 3.54|     |29.52| 0.54| 0.74| 0.71| 0.18|4236| 0.58|-3.34
2MASS J08101842-4902145|08 10 18.42|-49 02 14.6|NGC2547 |407.0|16.29| 4.07|     |29.85| 1.82| 0.75| 0.73| 0.20|4284| 0.64|-3.03
2MASS J08101841-4926312|08 10 18.47|-49 26 30.7|NGC2547 |407.0|19.07| 5.57|     |29.01| 0.51| 0.41| 0.48| 0.05|3684| 0.31|-3.24
2MASS J08102553-4906335|08 10 25.54|-49 06 33.4|NGC2547 |407.0|16.77| 4.02|     |29.30| 4.70| 0.66| 0.64| 0.12|4006| 0.58|-3.38
2MASS J08102741-4920196|08 10 27.40|-49 20 19.7|NGC2547 |407.0|18.53| 4.80|     |29.18| 2.07| 0.38| 0.47| 0.04|3645| 0.31|-3.02
2MASS J08103088-4910443|08 10 30.88|-49 10 44.4|NGC2547 |407.0|17.41| 4.37|     |30.01| 0.51| 0.57| 0.58| 0.09|3875| 0.52|-2.52
2MASS J08103186-4921296|08 10 31.86|-49 21 29.8|NGC2547 |407.0|15.13| 3.17|     |29.61| 0.24| 0.83| 0.80| 0.31|4610| 0.64|-3.47
2MASS J08103259-4909436|08 10 32.59|-49 09 43.4|NGC2547 |407.0|18.23| 4.55|     |29.14|10.16| 0.41| 0.48| 0.05|3679| 0.31|-3.11
2MASS J08103549-4905001|08 10 35.49|-49 05 00.1|NGC2547 |407.0|14.78| 2.90|     |29.60| 0.35| 0.85| 0.83| 0.36|4734| 0.64|-3.55
2MASS J08103559-4910278|08 10 35.59|-49 10 27.5|NGC2547 |407.0|15.15| 2.96|     |29.59| 6.71| 0.81| 0.79| 0.27|4518| 0.64|-3.43
2MASS J08103571-4927495|08 10 35.70|-49 27 49.5|NGC2547 |407.0|17.18| 4.29|     |29.52| 2.98| 0.62| 0.60| 0.10|3934| 0.52|-3.07
2MASS J08103572-4909008|08 10 35.72|-49 09 00.6|NGC2547 |407.0|15.92| 3.45|     |29.48| 5.18| 0.74| 0.71| 0.18|4214| 0.58|-3.36
2MASS J08103735-4928104|08 10 37.34|-49 28 10.5|NGC2547 |407.0|18.16| 4.86|     |29.41| 2.99| 0.48| 0.52| 0.06|3763| 0.44|-2.97
2MASS J08103780-4910118|08 10 37.80|-49 10 11.5|NGC2547 |407.0|19.13| 5.23|     |29.17| 1.25| 0.33| 0.44| 0.03|3572| 0.00|-2.94
2MASS J08104061-4907055|08 10 40.61|-49 07 05.4|NGC2547 |407.0|18.74| 5.25|     |29.02| 5.65| 0.42| 0.49| 0.05|3697| 0.31|-3.26
2MASS J08104108-4907525|08 10 41.08|-49 07 52.3|NGC2547 |407.0|18.23| 5.02|     |29.18| 2.75| 0.50| 0.53| 0.07|3787| 0.44|-3.23
2MASS J08104235-4927530|08 10 42.35|-49 27 53.0|NGC2547 |407.0|19.50| 5.59|     |28.99| 1.01| 0.32| 0.43| 0.03|3555| 0.00|-3.10
2MASS J08104570-4906171|08 10 45.69|-49 06 17.1|NGC2547 |407.0|16.97| 4.45|     |29.81| 3.54| 0.69| 0.66| 0.14|4063| 0.58|-2.92
2MASS J08104793-4917078|08 10 47.93|-49 17 07.9|NGC2547 |407.0|16.96| 4.11|     |29.28| 4.49| 0.63| 0.62| 0.11|3964| 0.52|-3.35
2MASS J08104805-4916295|08 10 48.05|-49 16 29.4|NGC2547 |407.0|19.31| 5.25|     |28.79| 0.55| 0.30| 0.42| 0.03|3530| 0.00|-3.27
2MASS J08104835-4915249|08 10 48.36|-49 15 24.9|NGC2547 |407.0|18.31| 4.80|     |29.39| 1.42| 0.43| 0.49| 0.05|3707| 0.31|-2.91
2MASS J08105013-4922476|08 10 50.14|-49 22 47.7|NGC2547 |407.0|18.98| 5.13|     |29.28| 1.62| 0.34| 0.44| 0.04|3592| 0.00|-2.86
2MASS J08105354-4911429|08 10 53.54|-49 11 43.0|NGC2547 |407.0|19.63| 5.25|     |28.61| 0.88| 0.24| 0.38| 0.02|3429| 0.00|-3.31
2MASS J08105610-4918399|08 10 56.10|-49 18 39.9|NGC2547 |407.0|17.61| 4.74|     |29.55| 0.29| 0.59| 0.59| 0.09|3900| 0.52|-3.00
2MASS J08105917-4904277|08 10 59.17|-49 04 27.8|NGC2547 |407.0|20.10| 5.78|     |28.93| 0.70| 0.24| 0.37| 0.02|3425| 0.00|-2.99
2MASS J08105943-4908329|08 10 59.42|-49 08 32.6|NGC2547 |407.0|18.61| 4.96|     |29.55| 1.75| 0.40| 0.48| 0.04|3669| 0.31|-2.69
2MASS J08110699-4912236|08 11 06.98|-49 12 23.6|NGC2547 |407.0|20.28| 5.65|     |28.56| 0.52| 0.20| 0.34| 0.02|3334| 0.00|-3.24
2MASS J08110759-4921423|08 11 07.60|-49 21 42.3|NGC2547 |407.0|17.29| 4.67|     |29.25| 2.29| 0.65| 0.63| 0.12|3994| 0.58|-3.41
2MASS J08110933-4911533|08 11 09.32|-49 11 53.5|NGC2547 |407.0|19.17| 5.22|     |29.05| 1.07| 0.32| 0.43| 0.03|3558| 0.00|-3.05
2MASS J08112213-4921470|08 11 22.14|-49 21 47.1|NGC2547 |407.0|16.01| 3.73|     |29.39| 3.17| 0.75| 0.73| 0.20|4277| 0.64|-3.48
2MASS J08113107-4914105|08 11 31.07|-49 14 10.5|NGC2547 |407.0|19.86| 5.28|     |29.11| 1.04| 0.21| 0.35| 0.02|3364| 0.00|-2.74
                       |08 15 49.02|+46 01 19.6|Field   | 21.0|13.24| 4.29|     |28.38| 3.22| 0.23| 0.23| 0.01|3392| 0.00|-3.13
HD 70573               |08 22 49.95|+01 51 33.6|Field   | 67.0| 8.70| 1.51|     |29.64| 3.30| 1.15| 1.09| 1.41|5828| 0.76|-4.08
HD 70516               |08 24 15.65|+44 56 58.9|Field   | 37.0| 7.71| 1.42|G0   |29.24| 3.97| 1.08| 1.01| 1.04|5637| 0.76|-4.35
HD 72905               |08 39 11.70|+65 01 15.3|Field   | 14.0| 5.63| 1.50|G1.5b|29.11| 4.90| 1.10| 1.02| 1.09|5675| 0.76|-4.51
2MASS J08391510+1943316|08 39 15.15|+19 43 31.6|Praesepe|182.0|16.96| 4.87|     |29.16| 0.81| 0.46| 0.39| 0.03|3746| 0.54|-2.97
2MASS J08391850+1922442|08 39 18.78|+19 22 46.0|Praesepe|182.0|19.94| 4.58|M4.8 |28.12| 0.55| 0.12| 0.13| 0.00|2953| 0.00|-2.69
2MASS J08393042+2004087|08 39 30.51|+20 04 08.4|Praesepe|182.0|10.32| 1.29|F8   |28.78| 7.02| 1.26| 1.24| 2.26|6173| 0.87|-5.16
2MASS J08393175+1924176|08 39 31.84|+19 24 18.3|Praesepe|182.0|17.71| 4.91|     |28.65| 4.29| 0.34| 0.31| 0.02|3587| 0.00|-3.19
